종목명,업종명
AJ네트웍스,서비스업
AK홀딩스,기타금융
BGF,기타금융
BGF리테일,유통업
BNK금융지주,기타금융
BYC,섬유의복
BYC우,섬유의복
CJ,기타금융
CJ CGV,서비스업
CJ4우(전환),기타금융
CJ대한통운,운수창고업
CJ씨푸드,음식료품
CJ씨푸드1우,음식료품
CJ우,기타금융
CJ제일제당,음식료품
CJ제일제당 우,음식료품
CR홀딩스,비금속광물
CS홀딩스,기타금융
DB,서비스업
DB금융투자,증권
DB손해보험,보험
DB하이텍,전기전자
DGB금융지주,기타금융
DI동일,유통업
DL,화학
DL건설,건설업
DL우,화학
DL이앤씨,건설업
DL이앤씨2우(전환),건설업
DL이앤씨우,건설업
DN오토모티브,전기전자
DRB동일,화학
DSR,철강금속
DSR제강,철강금속
E1,유통업
ESR켄달스퀘어리츠,서비스업
F&F,섬유의복
F&F홀딩스,기타금융
GKL,서비스업
GS,기타금융
GS건설,건설업
GS글로벌,유통업
GS리테일,유통업
GS우,기타금융
HDC,기타금융
HDC랩스,건설업
HDC현대EP,화학
HDC현대산업개발,건설업
HD한국조선해양,기타금융
HD현대,기타금융
HD현대건설기계,기계
HD현대에너지솔루션,전기전자
HD현대인프라코어,기계
HD현대일렉트릭,전기전자
HD현대중공업,운수장비
HJ중공업,건설업
HL D&I,건설업
HLB글로벌,광업
HL만도,운수장비
HL홀딩스,기타금융
HMM,운수창고업
HSD엔진,기계
HS애드,서비스업
IHQ,서비스업
JB금융지주,기타금융
JW생명과학,의약품
JW중외제약,의약품
JW중외제약2우B,의약품
JW중외제약우,의약품
JW홀딩스,기타금융
KB금융,기타금융
KB스타리츠,서비스업
KCC,화학
KCC글라스,비금속광물
KCTC,운수창고업
KC그린홀딩스,기타금융
KC코트렐,기계
KEC,전기전자
KG모빌리티,운수장비
KG스틸,철강금속
KG케미칼,화학
KH 필룩스,전기전자
KIB플러그에너지,기계
KISCO홀딩스,철강금속
KPX케미칼,화학
KPX홀딩스,화학
KR모터스,운수장비
KSS해운,운수창고업
KT,통신업
KT&G,기타제조업
KTcs,서비스업
KTis,서비스업
LF,섬유의복
LG,기타금융
LG디스플레이,전기전자
LG생활건강,화학
LG생활건강우,화학
LG에너지솔루션,전기전자
LG우,기타금융
LG유플러스,통신업
LG이노텍,전기전자
LG전자,전기전자
LG전자우,전기전자
LG헬로비전,서비스업
LG화학,화학
LG화학우,화학
LIG넥스원,기계
LS,기타금융
LS ELECTRIC,전기전자
LS네트웍스,유통업
LS전선아시아,기타금융
LX세미콘,전기전자
LX인터내셔널,유통업
LX하우시스,화학
LX하우시스우,화학
LX홀딩스,기타금융
LX홀딩스1우,기타금융
MH에탄올,음식료품
NAVER,서비스업
NHN,서비스업
NH올원리츠,서비스업
NH투자증권,증권
NH투자증권우,증권
NH프라임리츠,서비스업
NICE,서비스업
NICE평가정보,서비스업
NI스틸,철강금속
NPC,화학
NPC우,화학
OCI,화학
OCI홀딩스,화학
PI첨단소재,화학
POSCO홀딩스,철강금속
S-Oil,화학
S-Oil우,화학
SBS,서비스업
SGC에너지,전기가스업
SG글로벌,운수장비
SG세계물산,유통업
SHD,철강금속
SH에너지화학,화학
SIMPAC,철강금속
SJM,운수장비
SJM홀딩스,유통업
SK,기타금융
SKC,화학
SK가스,유통업
SK네트웍스,유통업
SK디스커버리,기타금융
